IP,SendSpeed,RecvSpeed,SendTotal,RecvTotal
172.20.0.198,0,0,147433511,1362015975
172.20.0.131,0,0,122871395,1359098999
172.20.0.251,0,0,45581930,1425261343
172.20.0.190,0,0,273419825,1163202758
172.20.7.121,0,0,493068224,941292088
172.20.0.120,0,0,79879354,1352331474
172.20.0.194,0,0,98926101,1325014382
172.20.7.195,0,0,110963130,1300198544
172.20.0.220,0,0,161243849,1248738565
172.20.0.226,0,0,642118596,739754874
172.20.7.100,16,18,82933085,1296665394
172.20.0.56,0,0,184162568,1180587006
172.20.0.146,0,0,130012410,1178802002
172.20.0.210,0,0,191866754,1108861076
172.20.7.215,0,0,395572447,896586466
172.20.0.124,0,0,48125232,1230792195
172.20.0.229,0,0,460715621,812523526
192.168.30.107,0,0,82451545,1185058720
172.20.0.233,0,0,108622879,1151650023
192.168.30.222,0,0,66812649,1161758313
172.20.7.130,0,0,895050146,318510289
172.20.0.215,0,0,215615593,988416263
172.20.0.100,0,0,85276395,1109570682
192.168.30.112,0,0,116275441,1047499652
172.20.7.131,0,0,32633173,1072920178
172.20.6.243,0,0,47107089,1044723878
172.20.0.43,0,0,233877845,832386065
172.20.0.234,0,0,85250217,971972812
172.20.0.176,0,0,127453769,927203980
192.168.20.240,0,0,336207003,711192997
172.20.0.197,0,0,75393831,964026807
192.168.30.217,0,0,239073304,799754415
172.20.0.141,0,0,223547715,811347697
172.20.7.128,0,0,24835572,969342459
172.20.7.137,0,0,50472915,943492215
172.20.0.98,0,0,106771955,865052654
192.168.20.242,0,0,55269165,905047388
172.20.0.203,0,0,277941644,680360937
172.20.0.92,0,0,169721638,781489117
172.20.2.12,0,0,43381850,899584124
172.20.0.88,0,0,137810963,799673959
172.20.7.218,0,0,42568142,882199211
172.20.0.58,0,0,76186882,840844096
172.20.7.235,0,0,308442403,603111984
172.20.0.231,0,0,149601478,753928665
172.20.0.62,0,0,106020694,790461812
172.20.0.185,0,0,33910250,848661366
192.168.20.115,0,0,80442106,791409669
192.168.20.103,0,0,58389449,812844987
172.20.0.70,0,0,48706698,822064304
172.20.0.232,0,0,25223374,836634898
192.168.20.114,0,0,67665149,785928920
172.20.0.245,0,0,18633813,831057010
172.20.0.53,0,0,41346337,794552232
172.20.0.167,8,8,142002420,688114206
172.20.0.184,0,0,63752974,746119155
172.20.0.186,0,0,84489082,699627091
172.20.0.204,0,0,152198115,630270013
172.20.0.172,0,0,84472430,691996745
192.168.30.105,0,0,89718081,682992562
172.20.0.171,0,0,60314183,701482124
172.20.0.113,0,0,114648474,626028794
172.20.0.143,0,0,35789686,690306167
172.20.0.246,0,0,70493389,645508149
172.20.7.102,0,0,264505267,403709450
192.168.20.241,0,0,82691127,583489397
172.20.7.185,0,0,101042982,529330116
172.20.0.73,0,0,130348224,495046593
172.20.7.244,0,0,67330347,555546586
172.20.0.222,0,0,56827871,561445789
172.20.0.102,0,0,38159335,578956953
172.20.0.156,0,0,526300882,81187606
172.20.0.129,0,0,94934917,510448198
172.20.6.29,0,0,35946735,557864312
172.20.7.233,0,0,54980124,531878597
172.20.6.23,0,0,36283018,548792827
172.20.6.22,0,0,32187470,549122590
172.20.6.24,0,0,31711916,548869265
192.168.20.104,0,0,35051935,544179459
172.20.7.226,0,0,48012698,518753095
172.20.0.60,0,0,77329377,476351788
172.20.0.237,0,0,214604165,324510347
172.20.0.225,0,0,23780242,513887892
172.20.7.236,0,0,31559149,500532025
172.20.0.178,0,0,101717452,421854996
172.20.7.169,0,0,34619983,459816838
172.20.7.201,0,0,159820533,318585237
172.20.7.174,0,0,26811350,443877216
172.20.0.195,0,0,54975647,414274637
172.20.0.61,0,0,51109092,415108522
172.20.7.212,0,0,81751558,370619073
172.20.7.110,0,0,33829759,415195820
172.20.0.207,0,0,21565292,417338045
192.168.140.2,45,45,180497613,238858719
172.20.0.145,0,0,19856506,388739484
172.20.7.123,0,0,21377784,385376343
172.20.0.213,0,0,17921424,383227159
172.20.7.155,0,0,14461736,377740790
172.20.7.210,0,0,131840732,256127560
172.20.0.223,0,0,39141387,338250496
172.20.6.39,0,0,178302395,195529035
172.20.0.175,0,0,42750831,318616523
192.168.30.218,0,0,48922597,309018187
172.20.0.216,0,0,14367248,341774323
172.20.7.198,0,0,79953481,267178820
172.20.0.101,0,0,52755366,293787893
172.20.0.50,0,0,33672646,310515442
192.168.30.254,0,0,8671800,330004348
172.20.0.71,0,0,32571830,303819736
172.20.0.46,0,0,10245600,325766159
172.20.0.192,0,0,21449913,307598021
172.20.7.139,0,0,101938184,225594071
172.20.7.166,0,0,48868551,277349959
192.168.20.102,0,0,9562643,314033063
172.20.0.144,0,0,37994038,283401990
172.20.7.141,0,0,44244085,276497386
172.20.6.42,0,0,148445934,170953257
172.20.7.178,0,0,185631350,130386888
172.20.7.151,0,0,23288974,283009879
172.20.0.108,0,0,36383482,268798793
172.20.1.103,0,0,6193554,298123923
172.20.0.242,0,0,51795639,234765461
172.20.7.132,0,0,12530008,263925043
172.20.0.228,0,0,24499227,250965909
172.20.3.9,6220,3263,236557346,31006026
172.20.7.142,0,0,13840391,241415011
172.20.7.150,0,0,55628596,193516768
172.20.7.120,0,0,84713974,159581766
172.20.7.197,0,0,62789762,175055702
172.20.7.190,0,0,102156914,133822787
172.20.7.214,0,0,65606687,168607703
172.20.7.219,0,0,48726316,174460723
172.20.7.213,0,0,11577832,208676648
172.20.0.91,0,0,8642544,208771717
172.20.0.10,0,0,5994414,209780409
172.20.1.251,16,18,36926255,178207318
172.20.7.153,0,0,9124153,201992352
192.168.20.252,0,0,34716060,174987466
172.20.7.168,0,0,11956374,195200286
172.20.6.204,0,0,77789579,125910832
172.20.7.148,0,0,145423436,58146780
172.20.7.189,0,0,125845740,69255836
172.20.0.219,0,0,14331296,179161303
172.20.7.136,0,0,107933996,81614990
172.20.0.183,0,0,20508569,161449558
172.20.7.156,0,0,148822976,29716930
172.20.1.101,155,152,25519576,152982219
172.20.6.27,0,0,25615930,147598529
172.20.7.118,0,0,9919971,150935304
172.20.6.41,0,0,21912375,138002321
172.20.0.48,0,0,4533293,152743027
172.20.6.21,0,0,18664456,138288134
172.20.0.150,0,0,23317509,129031741
172.20.7.127,0,0,66784876,81139162
172.20.0.47,0,0,4610684,137228857
192.168.20.238,0,0,4000627,137802349
172.20.0.205,0,0,13583492,123226117
172.20.7.205,0,0,14301493,116004023
172.20.7.147,0,0,42935718,86213704
172.20.7.220,0,0,4541496,120876362
172.20.7.184,0,0,12374199,112195852
172.20.7.134,0,0,9496938,102809284
172.20.7.204,0,0,32766412,78739419
172.20.3.20,0,40,26751181,84496331
172.20.7.207,0,0,8997943,95721172
172.20.0.193,0,0,3544748,86739541
172.20.7.159,0,0,4517842,85294272
172.20.0.161,0,0,18119045,69531620
172.20.0.125,0,0,7566041,59293559
172.20.7.129,0,0,9793131,55092893
172.20.0.236,0,0,18352597,45610597
172.20.3.21,0,0,60349488,1112044
172.20.3.17,4407,1302,32961351,27178064
192.168.20.243,0,0,12814826,44955283
172.20.0.117,0,0,13221424,43418724
172.20.6.38,0,0,12915542,40763462
192.168.20.239,0,0,3947094,49137902
172.20.7.232,0,0,2040751,50167011
172.20.0.199,0,0,11158450,37843778
172.20.6.44,0,0,4189306,42698264
172.20.0.118,0,0,7813377,37656043
172.20.7.239,0,0,11969179,32446671
172.20.6.35,0,0,23867197,20376029
172.20.7.208,0,0,4763122,39152568
172.20.1.102,0,0,5686378,36584868
172.20.7.115,0,0,1707498,39779914
172.20.7.221,0,0,3234916,37972739
172.20.7.241,0,0,11565820,29434997
172.20.7.125,0,0,1720430,38009887
172.20.6.45,0,0,14077532,25045272
172.20.7.222,0,0,3644178,34598199
172.20.7.173,0,0,1877432,36141761
172.20.6.25,15,15,15547528,21624393
172.20.7.203,0,0,9477636,27239043
172.20.7.107,0,0,4300053,31776719
172.20.7.182,0,0,4893598,30833723
172.20.1.104,0,0,3569551,32016138
172.20.7.170,0,0,2427530,30941078
172.20.7.234,0,0,1413167,31480805
192.168.30.99,15,16,20639656,8282078
172.20.7.126,0,0,9772952,18873683
172.20.7.202,0,0,6749818,19854082
172.20.7.158,0,0,970887,22540920
172.20.7.196,0,0,7799819,15458086
172.20.7.112,0,0,2069588,21118344
172.20.7.171,0,0,5358536,14179345
172.20.7.138,0,0,13109510,5737843
172.20.0.76,0,0,10351095,8286724
172.20.7.228,0,0,1170306,17248027
172.20.0.116,0,0,6386332,10485880
172.20.7.162,0,0,3447810,12070419
172.20.7.160,0,0,3543379,11845402
172.20.7.252,0,0,422405,14506097
172.20.7.116,0,0,1224148,13417026
172.20.7.117,0,0,3537688,10216907
172.20.0.33,0,0,8185653,4589530
172.20.7.223,0,0,885826,11302579
172.20.6.37,0,0,3561787,8209340
172.20.7.113,0,0,8303875,3143259
192.168.30.221,0,0,786585,9059186
172.20.0.51,0,0,4733980,4975464
172.20.7.124,0,0,5055780,4618594
172.20.7.194,0,0,1252896,7752950
172.20.7.152,0,0,1433451,6884441
172.20.7.161,0,0,1689846,5386464
172.20.7.172,0,0,1845526,2825279
172.20.0.23,0,0,2405943,1902193
172.20.7.175,0,0,641195,3514986
192.168.140.46,0,0,0,4132284
172.20.0.52,0,0,2315776,1661151
172.20.7.237,0,0,1512185,2150208
172.20.7.143,0,0,957429,2701855
172.20.0.111,0,0,2077711,1338567
172.20.0.26,0,0,2142499,1273300
192.168.30.110,0,0,2061632,1332643
172.20.0.32,0,0,2069905,1264807
172.20.0.25,0,0,2014385,1150262
172.20.7.165,0,0,634799,1834483
172.20.7.224,0,0,501483,1876759
192.168.72.1,0,0,0,2280912
172.20.0.49,0,0,1286289,945673
172.20.0.45,0,0,1143323,827362
172.20.0.114,0,0,126126,1550857
172.20.0.24,0,0,986241,418453
192.168.20.253,0,0,784515,510372
172.20.7.227,0,0,139698,1011953
192.168.140.217,0,0,0,853270
172.20.7.230,0,0,290022,543723
172.20.1.105,0,0,83817,575675
172.20.7.229,0,0,274923,359968
172.20.0.224,0,0,207771,399750
172.20.7.133,0,0,351059,220585
172.20.7.146,0,0,119142,395342
172.20.7.167,0,0,75662,437517
172.20.7.154,0,0,146732,356919
192.168.140.33,0,0,151102,340573
172.20.2.13,0,0,192105,178010
172.20.7.140,0,0,51555,286912
172.20.6.32,0,0,17418,295012
192.168.140.202,0,0,0,294780
172.20.6.36,0,0,38349,243881
172.20.7.225,0,0,140156,133631
172.20.6.203,0,0,64796,158588
172.20.7.135,0,0,93668,125838
172.20.0.154,0,0,157684,61546
172.20.6.30,0,0,8003,150531
192.168.140.8,0,0,0,139308
192.168.21.2,0,0,0,138793
172.20.7.179,0,0,71212,63657
172.20.2.145,0,0,98370,9542
172.20.2.137,0,0,97906,3456
172.20.0.21,0,0,100674,216
172.20.2.144,0,0,97906,2880
172.20.2.106,0,0,97798,2880
172.20.2.108,0,0,97798,2880
172.20.2.213,0,0,97852,2304
172.20.2.104,0,0,97798,1152
172.20.0.29,0,0,86274,4062
172.20.7.119,0,0,14501,72175
172.20.0.35,0,0,78454,936
172.20.7.144,0,0,22642,50200
192.168.20.237,0,0,20157,52269
172.20.0.37,0,0,66134,156
172.20.6.33,0,0,0,63620
172.20.7.114,0,0,12797,45374
172.20.2.114,0,0,54412,2880
172.20.2.127,0,0,54412,2880
172.20.0.36,0,0,55695,676
172.20.2.111,0,0,54442,1728
172.20.2.115,0,0,54442,1728
172.20.2.112,0,0,54442,1152
172.20.2.113,0,0,54442,576
172.20.2.131,0,0,52540,2304
172.20.2.103,0,0,49616,0
172.20.2.107,0,0,49588,0
172.20.2.141,0,0,49588,0
172.20.2.216,0,0,49588,0
172.20.0.31,0,0,47916,260
172.20.0.34,0,0,34258,676
172.20.2.138,0,0,25578,7638
172.20.2.210,0,0,25200,4032
172.20.0.201,0,0,28612,528
172.20.0.27,0,0,28568,164
172.20.2.211,0,0,25200,3456
172.20.2.206,0,0,25200,3456
172.20.2.209,0,0,25200,2304
172.20.2.139,0,0,24426,2304
172.20.2.205,0,0,25200,1152
172.20.2.136,0,0,23688,2304
172.20.2.241,0,0,25632,0
172.20.2.242,0,0,25632,0
172.20.2.220,0,0,24426,1152
172.20.2.235,0,0,24372,1152
172.20.2.123,0,0,24372,1152
172.20.2.207,0,0,22984,2304
172.20.2.130,0,0,25200,0
172.20.2.204,0,0,25200,0
172.20.2.212,0,0,25200,0
172.20.2.119,0,0,25164,0
172.20.2.142,0,0,25056,0
172.20.2.221,0,0,24426,576
172.20.2.109,0,0,24426,576
172.20.2.214,0,0,24372,576
172.20.2.122,0,0,24372,576
172.20.2.133,0,0,24372,576
172.20.2.126,0,0,24372,576
172.20.2.203,0,0,24336,576
172.20.2.202,0,0,24336,576
172.20.2.219,0,0,24426,0
172.20.2.218,0,0,24426,0
172.20.2.140,0,0,24426,0
172.20.2.208,0,0,24408,0
172.20.2.143,0,0,24372,0
172.20.2.129,0,0,24372,0
172.20.2.215,0,0,24372,0
172.20.2.124,0,0,24372,0
172.20.2.135,0,0,24372,0
172.20.2.125,0,0,24372,0
172.20.2.128,0,0,24372,0
172.20.2.121,0,0,24372,0
172.20.2.134,0,0,24372,0
172.20.2.116,0,0,24372,0
172.20.2.117,0,0,24372,0
172.20.2.120,0,0,24372,0
172.20.2.132,0,0,24372,0
172.20.2.102,0,0,24354,0
172.20.2.101,0,0,24354,0
172.20.2.240,0,0,24354,0
172.20.2.222,0,0,24354,0
172.20.2.238,0,0,24354,0
172.20.2.201,0,0,24336,0
172.20.2.105,0,0,23634,0
192.168.140.15,0,0,0,22730
192.168.140.5,0,0,0,18962
172.20.0.28,0,0,9143,4986
172.20.0.30,0,0,13496,0
192.168.140.126,0,0,0,7768
172.20.3.115,0,0,4680,2457
172.20.0.57,0,0,4230,2135
172.20.3.114,0,0,4230,1941
172.20.0.22,0,0,5121,916
192.168.32.2,0,0,4680,0
172.20.2.98,0,0,2733,1657
192.168.140.13,0,0,0,2028
192.168.140.6,0,0,0,1692
192.168.72.14,0,0,0,1508
172.20.0.38,0,0,576,744
172.20.3.22,0,0,1152,0
172.20.7.157,0,0,454,456
172.20.6.7,0,0,280,0
192.168.140.214,0,0,0,256
192.168.140.151,0,0,0,156
172.20.2.22,0,0,0,156
